state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
North Dakota,Feb-29,14,16.73333333,19-Mar,33,-25.75,2-Apr,47,-55.25,2-Apr,47,-55.25,10-Apr,55,-38.125,33,8,-71.98333333,-54.85833333
Ohio,1-Mar,15,20.87951807,6-Mar,20,3.829545455,24-Mar,38,-48.64367816,24-Mar,38,-48.64367816,8-Apr,53,-31.546875,23,15,-69.52319623,-52.42639307
Oklahoma,1-Mar,15,24.05454545,12-Mar,26,20.74576271,4-Apr,49,-38.33333333,14-Apr,59,-28.93333333,5-May,80,3.178571429,34,31,-62.38787878,-20.87597402
Oregon,1-Mar,15,23.86206897,16-Mar,30,1.5,28-Mar,42,-51.1875,12-Apr,57,-51.73913043,2-Jul,138,17.65517241,27,96,-75.04956897,-6.20689656
Pennsylvania,8-Mar,22,20.26984127,16-Mar,30,4.296875,12-Apr,57,-69.89795918,12-Apr,57,-69.89795918,2-Jul,138,17.98305085,35,81,-90.16780045,-2.28679042
Rhode Island,1-Mar,15,12.33333333,16-Mar,30,-6.333333333,29-Mar,43,-56.66666667,23-May,98,-28.33333333,2-Jul,138,22.33333333,28,95,-69,10
South Carolina,1-Mar,15,20.8,21-Mar,35,-24.68888889,8-Apr,53,-39.34482759,12-Apr,57,-61.92857143,3-Jun,109,4.272727273,38,56,-60.14482759,-16.52727273
South Dakota,1-Mar,15,16.70588235,13-Mar,27,3.35,12-Apr,57,-72.88888889,12-Apr,57,-72.88888889,2-Jul,138,30.27272727,42,81,-89.59477124,13.56684492
Tennessee,3-Mar,17,22.30864198,19-Mar,33,-9.604651163,5-Apr,50,-33.61728395,12-Apr,57,-61.4,3-Jun,109,11.67307692,33,59,-55.92592593,-10.63556506
Texas,11-Mar,25,19.21787709,19-Mar,33,-11.11290323,4-Apr,49,-46.65445026,12-Apr,57,-52.4742268,20-May,95,-4.75,24,46,-65.87232735,-23.96787709
Utah,8-Mar,22,18.44444444,17-Mar,31,-2.727272727,4-Apr,49,-40.96,12-Apr,57,-52.18181818,25-May,100,8.428571429,27,51,-59.40444444,-10.01587301
Vermont,16-Feb,1,23.92307692,17-Feb,2,21.38461538,29-Mar,43,-63.84615385,11-Apr,56,-54.42857143,5-May,80,-34.75,42,37,-87.76923077,-58.67307692
Virginia,3-Mar,17,19.40909091,24-Mar,38,-26.62068966,12-Apr,57,-58.67213115,12-Apr,57,-58.67213115,2-Jul,138,7.626666667,40,81,-78.08122206,-11.78242424
Washington,1-Mar,15,23.78787879,16-Mar,30,-7.088235294,28-Mar,42,-52.54285714,12-Apr,57,-50.80769231,2-Jul,138,10.1,27,96,-76.33073593,-13.68787879
West Virginia,1-Mar,15,23.91666667,17-Mar,31,-0.947368421,12-Apr,57,-65,12-Apr,57,-65,1-Jun,107,6.294117647,42,50,-88.91666667,-17.62254902
Wisconsin,1-Mar,15,18.13846154,17-Mar,31,-11.82352941,28-Mar,42,-58.4,29-Mar,43,-54.63076923,7-Apr,52,-40.72972973,27,10,-76.53846154,-58.86819127
Wyoming,27-Feb,12,11.05263158,18-Mar,32,-14.2,12-Apr,57,-62.85714286,12-Apr,57,-62.85714286,2-Jul,138,34.5,45,81,-73.90977444,23.44736842
