state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
Oklahoma,Feb-29,14,-2.923076923,29-Mar,43,9.833333333,14-Apr,59,16.89285714,10-May,85,3,17-May,92,3.625,45,33,19.81593406,6.548076923
Oregon,22-Feb,7,-1.789473684,22-Mar,36,6.733333333,3-Apr,48,17.2,26-Apr,71,7.266666667,28-Apr,73,5.476190476,41,25,18.98947368,7.26566416
Pennsylvania,1-Mar,15,-1.432432432,22-Mar,36,9.666666667,10-Apr,55,26.08695652,24-May,99,2.914285714,21-Jun,127,-0.513513514,40,72,27.51938895,0.918918918
Rhode Island,Feb-29,14,-1.4,3-Apr,48,25.8,10-Apr,55,24.8,10-Apr,55,24.8,12-Apr,57,12.66666667,41,2,26.2,14.06666667
South Carolina,7-Mar,21,-1.72,27-Mar,41,13.39285714,10-Apr,55,18.96,10-Apr,55,18.96,10-May,85,4.052631579,34,30,20.68,5.772631579
South Dakota,Feb-29,14,-2.666666667,3-Apr,48,22.6,17-Apr,62,20.2,17-Apr,62,20.2,26-Apr,71,5,48,9,22.86666667,7.666666667
Tennessee,Feb-29,14,-2.769230769,3-Apr,48,16.97560976,10-Apr,55,19.97058824,24-May,99,2.684210526,13-Jun,119,-0.32,41,64,22.73981901,2.449230769
Texas,Feb-29,14,-2.771929825,29-Mar,43,12.14893617,10-Apr,55,22.17105263,10-May,85,4.571428571,17-May,92,6.42,41,37,24.94298246,9.191929825
Utah,28-Feb,13,-1.538461538,5-Apr,50,10.14285714,9-Apr,54,18.5,24-May,99,1.857142857,31-May,106,2.571428571,41,52,20.03846154,4.109890109
Vermont,16-Feb,1,-2,3-Apr,48,25.5,10-Apr,55,27,24-May,99,1.5,21-Jun,127,-0.5,54,72,29,1.5
Virginia,Feb-29,14,-1.310344828,3-Apr,48,20.08888889,10-Apr,55,22.26666667,10-Apr,55,22.26666667,10-May,85,7.684210526,41,30,23.5770115,8.994555354
Washington,28-Feb,13,-1.642857143,27-Mar,41,20.33333333,3-Apr,48,19.75,27-Apr,72,14.84615385,10-May,85,3.470588235,35,37,21.39285714,5.113445378
West Virginia,1-Mar,15,-1.714285714,27-Mar,41,18.72727273,10-Apr,55,20.72727273,24-May,99,2.6,7-Jun,113,0.833333333,40,58,22.44155844,2.547619047
Wisconsin,1-Mar,15,-2.25,10-Apr,55,23.45945946,17-Apr,62,21.10810811,24-May,99,0.80952381,14-Jun,120,-0.666666667,47,58,23.35810811,1.583333333
Wyoming,7-Mar,21,-3,3-Apr,48,17.6,16-Apr,61,17.71428571,15-Apr,60,16,17-May,92,1.666666667,40,31,20.71428571,4.666666667
