state,t0_time,t0_index,t0_val,t1_time,t1_index,t1_val,t2_time,t2_index,t2_val,t3_time,t3_index,t3_val,t4_time,t4_index,t4_val,D,R,Qmax,delta
North Dakota,16-Mar,30,25,20-Mar,34,13.28571429,12-Apr,57,-60.33333333,12-Apr,57,-60.33333333,21-May,96,9.4,27,39,-85.33333333,-15.6
Ohio,16-Mar,30,36.39285714,23-Mar,37,5.081395349,12-Apr,57,-42.85,12-Apr,57,-42.85,6-Jun,112,15.06153846,27,55,-79.24285714,-21.33131868
Oklahoma,18-Mar,32,22.1754386,31-Mar,45,-4.704918033,12-Apr,57,-26.69230769,14-Apr,59,-12.44444444,2-May,77,19.56,25,20,-48.86774629,-2.6154386
Oregon,16-Mar,30,20.10344828,23-Mar,37,-5.482758621,28-Mar,42,-21.5,11-Apr,56,-4.041666667,16-Apr,61,-3.739130435,12,19,-41.60344828,-23.84257872
Pennsylvania,16-Mar,30,27.69230769,16-Mar,30,27.69230769,12-Apr,57,-46.86,12-Apr,57,-46.86,23-May,98,10.94230769,27,41,-74.55230769,-16.75
Rhode Island,16-Mar,30,18,28-Mar,42,-17.5,12-Apr,57,-47.16666667,13-Apr,58,-39.33333333,22-May,97,2.833333333,27,40,-65.16666667,-15.16666667
South Carolina,15-Mar,29,26.38636364,21-Mar,35,11.19565217,12-Apr,57,-37.73333333,12-Apr,57,-37.73333333,9-May,84,20.5625,28,27,-64.11969697,-5.82386364
South Dakota,13-Mar,27,33.4375,13-Mar,27,33.4375,12-Apr,57,-49,12-Apr,57,-49,3-Jul,139,53.25,30,82,-82.4375,19.8125
Tennessee,16-Mar,30,26.89156627,31-Mar,45,-6.197674419,12-Apr,57,-42.68292683,12-Apr,57,-42.68292683,9-May,84,21.63157895,27,27,-69.5744931,-5.25998732
Texas,14-Mar,28,19.1185567,20-Mar,34,9.08040201,12-Apr,57,-41.13684211,12-Apr,57,-41.13684211,9-May,84,12.38297872,29,27,-60.25539881,-6.73557798
Utah,13-Mar,27,51.04545455,18-Mar,32,31.14285714,12-Apr,57,-31.90909091,10-May,85,20.2,25-May,100,19,30,43,-82.95454546,-32.04545455
Vermont,12-Mar,26,19.23076923,25-Mar,39,-4.153846154,10-Apr,55,-32.28571429,11-Apr,56,-26.66666667,7-May,82,-11.14285714,29,27,-51.51648352,-30.37362637
Virginia,13-Mar,27,25.20512821,21-Mar,35,3.743589744,12-Apr,57,-28.46031746,30-Apr,75,-11.59701493,9-May,84,8.098360656,30,27,-53.66544567,-17.10676755
Washington,16-Mar,30,27.12121212,16-Mar,30,27.12121212,28-Mar,42,-21.90909091,11-Apr,56,-6.041666667,10-May,85,22.58333333,12,43,-49.03030303,-4.53787879
West Virginia,16-Mar,30,17.05882353,21-Mar,35,7.914285714,12-Apr,57,-40.30769231,12-Apr,57,-40.30769231,7-Jun,113,15.07142857,27,56,-57.36651584,-1.98739496
Wisconsin,14-Mar,28,23.53846154,22-Mar,36,-17.6875,29-Mar,43,-29.8,29-Mar,43,-29.8,10-Apr,55,-10.55,15,12,-53.33846154,-34.08846154
Wyoming,16-Mar,30,36.6875,18-Mar,32,21.72222222,12-Apr,57,-40.75,12-Apr,57,-40.75,2-Jun,108,24.71428571,27,51,-77.4375,-11.97321429
