,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,,,
2,,0.00021257646185044005,,,,
3,,0.00042216432205439074,,,,
4,,0.0006287635806118523,,,,
5,,0.0008323742375228242,,,,
6,,0.0010329962927873068,,,,
7,,0.0013861423124240312,,,,
8,,0.0016072690109981578,,,,
9,,0.0019179502750382798,,,,
10,,0.0020647305958206826,,,,
11,,0.002288679580616233,,,,
12,,0.002503191998114053,,,,
13,,0.002766410841234691,,,,
14,,0.0030553359617675915,0.0003003591756888459,,,
15,,0.0033023603995848425,0.0006001879007815593,,,
16,,0.003654054311716795,0.0005388902753841047,,,
17,,0.0040459037308349256,0.0005818447924803807,,,
18,,0.004670008639610366,0.0007663172847338396,,,
19,,0.005438419095690908,0.0007039427022888491,,,
20,,0.00620253333025041,0.0009567805436825019,,,
21,,0.007102742065242918,0.0009189424303453776,,,
22,,0.007391515186965017,0.0011850949966421504,,,
23,,0.007210430765923564,0.0015017127161186554,,,
24,,0.007360935887030962,0.001866998851593583,,,
25,,0.0074460877729659765,0.0020914756693626553,,,
26,,0.008131814921086373,0.0024522574670297545,,,
27,,0.0087261594882651,0.002774635580233489,,,
28,,0.00871031338195585,0.003186324150907696,,,
29,,0.008061433890811206,0.0036515018745209103,,,
30,,0.006970558291803942,0.004134951816308977,,,
31,,0.006722849655271375,0.004741317708693752,,,
32,,0.006439788712850783,0.005573674930830132,,,
33,,0.006331126134136206,0.006737013693279044,,,
34,,0.006384456476201639,0.00840699573671873,,,
35,,0.006638022146673748,0.010688637338944143,,,
36,,0.007004340674034456,0.012753312550583448,,,
37,,0.006860019170904622,0.01511679359757497,,,
38,,0.007020254218605502,0.01933095237932457,,,
39,,0.0070901354261468895,0.02512934578755576,,,
40,,0.006830629210832964,0.03221638174224098,,,
41,,0.007351280360358543,0.03970773008454931,,,
42,,0.00775344912802097,0.0492379393569983,,,
43,,0.008092425710634772,0.05626467471754747,,,
44,0.00015345680539172234,0.009220094496029287,0.06072099007758553,0.00042322584419331443,0.00033853003105700124,
45,0.0003106126535191856,0.009780146636592721,0.06409499929452483,0.0008558844501608971,0.0006716162626261389,
46,0.0010918938477123845,0.009625508446152155,0.06767826478657785,0.0007327114962045471,0.000646249068653413,
47,0.0015415463785652499,0.009468462775066687,0.07056500127292174,0.0011657467148229194,0.0008140258039683714,
