mobility_type,PG,PL,PN,Average_Magnitude_PG,Average_Magnitude_PL,Average_Magnitude_PN,Average_p_PG,Average_p_PL,Average_p_PN
grocery_and_pharmacy_percent_change_from_baseline,32.69230769230769,65.38461538461539,1.9230769230769231,9.852133743941176,10.512093627529412,0.214285714,71.10264315629124,45.04656642463539,46.09443082132154
parks_percent_change_from_baseline,77.14285714285715,20.0,2.857142857142857,52.943937141629625,17.29602105357143,0.0,61.865714056280915,26.728360731045825,136.61114319264993
residential_percent_change_from_baseline,100.0,0.0,0.0,16.533704710104168,,,27.813468759480813,,
retail_and_recreation_percent_change_from_baseline,3.8461538461538463,94.23076923076923,1.9230769230769231,4.4214285715,15.519734158836734,0.404761905,63.69946392096555,62.61163335593869,48.27907692827864
transit_stations_percent_change_from_baseline,11.538461538461538,88.46153846153845,0.0,15.357142857833333,21.213899576326085,,89.8796102958321,65.83431412341771,
workplaces_percent_change_from_baseline,0.0,100.0,0.0,,29.82349558,,,49.46127742100583,
