mobility_type,PG,PL,PN
grocery_and_pharmacy_percent_change_from_baseline,33.33333333333333,64.70588235294117,1.9607843137254901
parks_percent_change_from_baseline,76.47058823529412,20.588235294117645,2.941176470588235
residential_percent_change_from_baseline,100.0,0.0,0.0
retail_and_recreation_percent_change_from_baseline,3.9215686274509802,94.11764705882352,1.9607843137254901
transit_stations_percent_change_from_baseline,11.76470588235294,88.23529411764706,0.0
workplaces_percent_change_from_baseline,0.0,100.0,0.0
