,city,mobility_type,t,h(t),f(t),S(t),F(t),f(t)_poly_2,f(t)_poly_3,f(t)_poly_4,h(t)_poly,f(t)_ma,h(t)_ma,Qmax,Mass,Delta
598,Dallas County,workplaces_percent_change_from_baseline,98.0,0.34090909090909083,0.08928571428571425,0.26190476190476186,0.7380952380952381,0.001540574620450144,-0.0004466492377190462,-0.0010681424581838943,0.005882194005355096,0.008333333333333335,0.03181818181818183,-81.0,-81.0,-36.0
599,Dallas County,workplaces_percent_change_from_baseline,99.0,-1.0,-0.29761904761904767,0.29761904761904767,0.7023809523809523,0.001562829497252275,-0.0004284387341789316,-0.0010439630152541926,0.005251107110767643,-0.0023809523809523838,-0.008000000000000009,-81.0,-81.0,-36.0
600,Dallas County,workplaces_percent_change_from_baseline,100.0,-0.10416666666666662,-0.08928571428571425,0.8571428571428572,0.14285714285714285,0.001584467444965655,-0.0004092953926211002,-0.0010181496634536292,0.0018485453524599306,-0.0071428571428571435,-0.008333333333333333,-81.0,-81.0,-36.0
601,Dallas County,workplaces_percent_change_from_baseline,101.0,0.41250000000000003,0.19642857142857142,0.47619047619047616,0.5238095238095238,0.0016054884635902838,-0.0003892436835265375,-0.000990742517767409,0.003371525773539596,0.0026785714285714273,0.005624999999999998,-81.0,-81.0,-36.0
602,Dallas County,workplaces_percent_change_from_baseline,102.0,0.0,0.0,0.4642857142857143,0.5357142857142857,0.0016258925531261615,-0.00036830807737622947,-0.0009617817363889222,0.003501922422117886,0.0026785714285714273,0.005769230769230766,-81.0,-81.0,-36.0
603,Dallas County,workplaces_percent_change_from_baseline,103.0,0.012500000000000074,0.005952380952380987,0.47619047619047616,0.5238095238095238,0.0016456797135732883,-0.0003465130446511607,-0.0009313075207197439,0.003455927398503906,-0.0026785714285714273,-0.005624999999999998,-81.0,-81.0,-36.0
604,Dallas County,workplaces_percent_change_from_baseline,104.0,0.35526315789473684,0.1607142857142857,0.45238095238095233,0.5476190476190477,0.0016648499449316643,-0.00032388305583231736,-0.0008993601153696341,0.0036801946151121005,0.00029761904761904797,0.0006578947368421061,-81.0,-81.0,-36.0
605,Dallas County,workplaces_percent_change_from_baseline,105.0,0.8076923076923077,0.125,0.15476190476190477,0.8452380952380952,0.001683403247201289,-0.00030044258140068426,-0.0008659798081565393,0.010877374828069867,0.011607142857142858,0.075,-81.0,-81.0,-36.0
606,Dallas County,workplaces_percent_change_from_baseline,106.0,-0.7647058823529415,-0.15476190476190477,0.20238095238095233,0.7976190476190477,0.0017013396203821624,-0.0002762160918372476,-0.0008312069301065908,0.008406619300711864,0.009226190476190476,0.04558823529411766,-81.0,-81.0,-36.0
607,Dallas County,workplaces_percent_change_from_baseline,107.0,-0.2820512820512821,-0.130952380952381,0.4642857142857143,0.5357142857142857,0.0017186590644742848,-0.0002512280576229928,-0.0007950818554541056,0.0037017272157907673,0.0023809523809523794,0.005128205128205125,-81.0,-81.0,-36.0
608,Dallas County,workplaces_percent_change_from_baseline,108.0,0.012820512820512895,0.005952380952380987,0.4642857142857143,0.5357142857142857,0.0017353615794776563,-0.00022550294923890475,-0.0007576450016415848,0.0037377018634903365,0.0026785714285714286,0.005769230769230769,-81.0,-81.0,-36.0
609,Dallas County,workplaces_percent_change_from_baseline,109.0,-0.01315789473684206,-0.005952380952380931,0.45238095238095233,0.5476190476190477,0.0017514471653922764,-0.0001990652371659696,-0.0007189368293197161,0.0038716200498145063,0.002380952380952382,0.0052631578947368455,-81.0,-81.0,-36.0
610,Dallas County,workplaces_percent_change_from_baseline,110.0,0.0,0.0,0.47619047619047616,0.5238095238095238,0.0017669158222181458,-0.0001719393918851726,-0.000678997842347373,0.003710523226658106,-0.0017857142857142863,-0.0037500000000000016,-81.0,-81.0,-36.0
